,agent,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_lr,val_nll_lr,test_nll_lr
25,25,0,71.24225448083916,93.30015886443286,70.85570804687634,69.78322090536184,100.24241562133932,74.4442958053809
26,26,0,74.49097249083906,110.22473705029628,69.80253125228899,71.76479865997996,127.39846483197594,72.5961979988991
27,27,0,70.47076903080769,112.11247436324075,84.70303158060263,68.2973108387518,155.0424331387793,98.9422568665038
28,28,0,51.556343863982285,75.43128823441168,59.13322054747625,59.102711960997354,90.84662589670975,61.90656744247147
29,29,0,75.62386873602479,121.76435301768115,86.82683260452185,73.2807329504552,121.92101843988112,97.91787540811876
30,30,0,65.72867878792101,129.69380821859357,73.13610625433341,68.70123396225675,136.02091589559245,80.73063226301646
31,31,0,12.551307349016577,67.44395325191974,90.66716322844191,11.226662834360724,247.3662842912533,156.71810451999175
32,32,0,80.30989800659503,139.9546050739722,81.69640853830433,72.18045059441171,161.68263664418959,85.7872802076136
33,33,0,27.84233007938775,13.477589500642253,26.640976150147328,26.249358158492026,26.540877403159847,23.95140639237538
34,34,0,62.97095337832073,92.84710599188705,46.11778521963381,60.43284783281285,111.17367364831087,60.63117014510876
35,35,0,46.985714802137736,110.51924726715538,78.93674761384777,48.45463716213703,128.97446236732566,83.8982824502034
36,36,0,74.22838999490462,150.98580169953908,74.92907649149792,70.81453494916651,162.26897702701092,81.50868188279328
37,37,0,73.44235065200527,109.34811426359582,87.26453758141409,67.19515261085365,135.6400498125642,90.68946077420917
38,38,0,83.052255196951,134.84576491368128,81.17689096541741,77.90921253035677,140.29851912740173,90.71053221830797
39,39,0,51.462456180767866,54.84679929225259,93.30156470300103,47.487710559627736,55.529330155736275,102.79332204782861
40,40,0,78.44221407346468,131.67041843208898,76.82909987297181,80.11313683744605,134.25860942477178,71.59490214868316
41,41,0,24.56322841984648,50.217125436794475,47.4433114289656,21.71171850399483,196.9963938594026,107.77501795092086
42,42,0,57.79847379601155,150.1158680536043,85.95866953699935,56.47956271284534,186.41413639855588,109.47807391978375
43,43,0,40.70026866151886,70.75404846372054,33.37579213105679,44.15407378901932,72.19703049818094,33.01803585063745
44,44,0,79.31142040702547,134.52040309403935,72.20560804565022,78.6056853589288,145.8480325741159,103.06799347696982
45,45,0,51.146475827809866,62.51992418650393,55.259632348234824,60.72897838870458,64.69271933644,54.85557032149925
46,46,0,70.46934016460948,97.16657353003744,72.87644407757193,70.69018380835189,110.27274372737595,80.22641429320996
47,47,0,76.64681581046767,89.72145767953862,95.36312754713343,80.62170094182515,104.47602317793505,83.79336815177655
48,48,0,82.46754072249242,135.08633709237233,82.0285305979437,77.88307218569031,125.55808558578975,87.34219759222923
49,49,0,81.61503326878795,145.53020153894312,73.3437456671855,80.2630013253708,139.55593369250005,70.56060901803075
50,50,0,11.072649949365477,55.77493272002872,52.200435011136754,14.735063576590033,86.33281776416271,90.20673742935838
51,51,0,79.68293767055361,144.35677575223735,76.92546408339098,73.50748044605929,157.50579657728667,88.77693322060776
52,52,0,0.7133911031009762,161.4319850525241,45.810250315270956,138.62943611198907,138.62943611198907,138.62943611198907
53,53,0,75.52095589644787,137.27733708236258,83.95351106664823,74.91730773857331,150.86503449175288,88.89899533207839
54,0,2,67.05176621926321,89.89912214189485,129.40623351107706,66.05697856662376,92.52723866846426,126.92393660837647
55,1,2,37.23252296669041,46.06335602320256,27.1425867504116,38.06513045786349,47.28697549387456,28.112302839615822
56,2,2,32.90495266624511,32.00624580251064,47.30318421324218,36.75669815540883,35.036116786658745,44.1472521946666
57,3,2,47.27516839164844,55.12799084623073,92.97893385650428,52.62276572054849,54.40684353455817,69.11310611651001
58,4,2,27.89907892537591,53.98576660490527,77.32497046141387,33.35148719003337,37.46095279334041,66.65687256729896
59,5,2,39.48914496680458,51.414864382778205,53.8960108783396,49.57106805870532,40.04628471849414,60.12765512515706
60,6,2,77.0748231759407,83.31290694254237,92.1847190871807,72.1757230758481,81.83721620552944,104.58684741476924
61,7,2,50.05262282013673,33.97640700349117,80.30698943609018,47.85399837875367,50.396562992496136,92.35752484242045
62,8,2,75.90084871100568,84.65877031749163,90.98819613268007,74.81922581756317,84.7668433052993,98.3241289039386
63,9,2,50.01366178239394,81.67748360123399,93.00836881778127,50.570919317469674,88.05674406395708,111.18640274438775
64,10,2,54.53128112061207,52.843379301309696,67.06456712702885,58.61715887521043,61.02831570908275,83.33780208168453
65,11,2,27.29499509120927,48.113505835331566,146.1389446553342,30.97023226004334,43.787914003038594,162.1892811695996
66,12,2,77.4712318185131,87.39482888422506,114.93379107188909,74.96735038544671,94.79300146268932,134.37159080823926
