,agent,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_lr,val_nll_lr,test_nll_lr
53,53,0,75.81616009599965,139.9469675249149,84.91675309168893,62.8882857373724,150.86503449175288,88.89899533207839
54,0,2,83.17349122323316,83.26839478697212,139.22631007849972,52.0669943937301,92.52723866846426,126.92393660837647
55,1,2,58.02381698645824,74.92715885991981,134.08513945470833,19.005748459300452,46.95803354712713,28.92886929047799
56,2,2,35.62316992246775,44.18573620121176,66.13652902622616,22.771301565350324,33.621547295711885,46.44227769143638
57,3,2,53.679167177362274,74.36516884126112,166.84293482744198,35.53255636522657,54.40684353455817,69.11310611651001
58,4,2,30.45888699165831,84.80539177420705,113.65879923128453,15.259640625880683,30.236843875505173,66.36059047684292
59,5,2,48.535977846009,102.59420239168149,81.07658164845417,30.27973494763686,40.04628471849414,60.12765512515706
60,6,2,79.96029151871558,83.81715469055695,137.42126883369974,50.34198112022219,81.37568565973656,105.30352435527395
61,7,2,52.64458488253011,52.98242596062263,121.9504254553388,27.22101989662229,50.396562992496136,92.35752484242045
62,8,2,76.17115928236818,84.982714857473,96.87641755768199,54.49644332239567,84.7668433052993,98.3241289039386
63,9,2,52.063664955764054,82.28617227087517,126.9258126181801,24.081380515448274,85.864028485444,115.01293989144631
64,10,2,60.85959599076681,65.51056641318307,86.66022302378765,30.248340166102107,61.02831570908275,83.33780208168453
65,11,2,32.54490492244238,48.61366542981743,170.58363998974016,14.700629076133728,43.787914003038594,162.1892811695996
66,12,2,81.13638009588789,88.92204923931051,125.68613918064551,56.93491592270505,94.79300146268932,134.37159080823926
67,13,2,82.74306120144307,79.71190276439602,137.93624913143307,64.30343958969223,81.28538265646793,141.32275644929317
68,14,2,33.92569456918178,2.9162064754520625,66.02930671782103,12.554110368407798,6.590615961487523,90.82153672162427
69,15,2,38.39981455330675,88.84400924948584,143.67227770390468,24.311433079053536,131.5213595944672,218.65666289526743
70,16,2,80.28691999067021,86.47375197951955,142.62982223571672,61.18752319935516,87.38163426979452,145.94297297603651
71,17,2,78.34157289386052,83.65198626452741,137.5821528281141,60.4759841393643,93.8309047649139,136.34146712731763
72,18,2,83.18223469515996,82.09020360262848,138.84092429760278,57.080082598471506,88.28800378189285,158.78395447350252
73,19,2,62.00644127419427,73.80384929533034,67.52552577256051,47.18225189959244,76.40989172002422,86.03683552129019
74,20,2,72.00699521341559,98.61153331832799,99.70109390842137,46.05205267824506,103.33075275608198,92.83236317944824
75,21,2,59.51737118068754,131.9044999975445,176.11764577599584,30.604962293254356,120.84432598808492,142.54183762763813
76,22,2,48.986667528478854,80.36993522060628,95.95435679563964,27.22606467237037,48.12822708423432,85.43187881004516
77,23,2,19.674625412512558,46.306430236675055,79.20936263484559,5.161875247439884,322.47530914808607,79.92020946568758
78,24,2,65.28046193584505,62.8580173711193,62.38382547159167,27.217873455535923,43.88706020562357,69.6809103414655
79,25,2,77.72403715321762,79.45075873210398,130.63852422336004,43.105754892138506,77.03783500467674,100.91609577564398
80,26,2,54.114113411010955,88.61772546793475,170.75129106936396,30.805446098364015,89.47565001520447,127.71679013547968
81,27,2,81.41736073633491,77.74669703253683,135.56678621950522,52.92665296472403,86.76393110341346,122.1851980995283
82,28,2,52.84501925430293,52.692585450443005,84.1048780982757,20.923636425740977,71.04161695365174,82.23073072887252
83,29,2,83.12857965575839,82.73651007915905,125.69702561991141,59.690704072427934,89.77402337773303,166.7397167803463
84,30,2,60.42295691655992,83.87078464775583,139.32254309255305,37.80553254177492,92.81321237390748,172.1945342379439
85,31,2,78.02983603669212,52.786333499288936,98.83929799781961,55.606784682175864,48.93471830866537,104.18120351098472
86,32,2,81.61770904624846,87.31601198940406,143.16564438633162,64.23165332520391,80.27538350165462,143.64614564657393
87,33,2,20.284701082206873,80.71516467721202,16.56382421703838,8.814525559032827,149.66505548122637,619.179833383919
88,34,2,34.1539653532534,115.64675047512941,134.13876532509667,14.011370191998289,78.89877011164427,72.0726315008053
89,35,2,63.190455225924346,92.9710214043885,125.11250823648459,37.193132974697924,65.75890626884987,103.69661726981269
90,36,2,71.34779934622938,83.87078464775583,139.32254309255305,42.34929750184164,83.74097901896683,181.08807749388922
91,37,2,82.9705125254605,81.31094378047416,116.34925207715489,58.75694142262434,78.95295676426174,154.67740090641553
92,38,2,77.12127254758538,99.5109966426526,150.7339032589183,66.92108640485641,90.32200674801979,139.437677132556
93,39,2,75.08381573521697,74.49127281817215,97.5247948326075,64.53585251498858,67.06298617508978,102.55663457615867
