,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
32,32,hybrid,0,207.885405503816,218.92146890287128,206.64661995883665,346.57349027998276,346.57349027998276,346.57349027998276,346.413467060224,348.01383681129926,347.2776651503036,203.2440041820971,245.01864215985182,231.85790755978712
33,33,hybrid,0,322.5543948560529,335.84581232278197,330.7592557400832,342.7923290791789,345.1729803358679,341.92783922911644,341.3268007502623,345.35494537121747,347.1883454818303,310.0282935530223,344.4630829503608,348.28135601758555
34,34,hybrid,0,326.50442460385426,326.1514902899969,339.1541752467401,340.98439418412374,343.95422730548535,348.15904691822794,344.7140848606814,352.16306447688083,349.59492927515225,305.68565635935585,349.16081349870274,353.3310301559484
35,35,hybrid,0,286.3281059419186,285.72960932904084,310.6557833675393,332.2371459594942,319.48259324369855,346.1804924610539,346.0531400953933,342.67282876312765,347.1265673962777,289.92322353569983,308.0376200860625,339.52106643367745
36,36,hybrid,0,159.90989863235822,163.4369564732964,182.76910774129203,256.48061161636633,245.22257189588652,268.7025355620814,344.7711532164252,341.35510736471065,346.7438984868037,166.80535329302415,195.1254916034539,207.617544828757
37,37,hybrid,0,296.61067757688704,299.1656891307185,333.3118514392452,320.515265698649,331.97450430514164,338.8244780099473,341.51642560808864,360.09348112536577,353.45052704325485,291.1653156984444,333.51274737213345,359.78600406955593
38,38,hybrid,0,300.95798548475057,322.45771112478485,306.7707148121877,339.95055060165026,347.00604762329044,344.20060631684004,344.6188587272259,350.20041040609146,342.5344070184919,290.4361462516697,350.6612884024603,352.00637145126325
39,39,hybrid,0,249.3251085350856,242.57237815738733,242.89696044320962,313.91570397295277,307.8130857556553,322.7000759975948,342.3801432892783,340.69985769615096,342.4894668696554,250.67699045185114,264.32666545399775,279.17772834702737
40,40,hybrid,0,239.89832194719864,266.1063299436149,259.0007883580613,281.3690540494664,305.5374289868478,291.39083022775185,319.4877541900203,404.04739078775185,350.5601994239581,239.42964306737747,309.36385862146074,294.4711944955984
41,41,hybrid,0,127.98417623537989,155.6357949168559,138.81409656490058,221.18756761321904,240.2543219911073,227.99739229004746,341.86992041384656,350.69553743270893,350.2132174995099,142.35270446323392,238.2188491375174,187.44081163243706
42,42,hybrid,0,336.33351466489864,347.9919042589177,337.05884986447836,345.8156509711321,346.79451180752585,344.61233537288706,344.82683732604124,346.3692736917525,353.16943360952064,322.27239128257344,350.66457721224185,353.0392482417876
43,43,hybrid,0,231.85484738987944,218.54823657785195,209.77981746569998,308.5013665384188,283.5853636946381,285.3208792427521,345.8610868132333,348.15196756969544,352.8280336077435,248.36002818227786,260.2777519300696,244.9858815200356
44,44,hybrid,0,345.5806240278473,345.4663610069956,347.8061597084778,345.60999086481604,346.1214503545226,347.20989772078,344.3769400603927,351.8464787972548,347.1079472903048,318.5991283068113,349.02626809120943,357.96577262165505
