,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
43,43,hybrid,0,98.04114383949658,87.66095522218177,79.32817658488396,138.6293961119931,138.6293961119931,138.6293961119931,138.42928662262585,140.4721249864098,139.23041976088626,106.9443862040903,131.57656084363987,117.77401710291659
44,44,hybrid,0,138.24707679491846,142.43666350033413,140.00354844591433,138.03019876820485,138.80532635422276,138.6616505657779,136.62214004445678,138.71400724204597,138.40029758224603,119.0887909418901,142.05851979598646,145.79863308928375
45,45,hybrid,0,116.55499089985204,107.54713288067747,123.1197361687713,134.94999703894126,133.93580531295044,140.21091542580277,137.46606125759536,136.73609875587755,139.55916441201396,97.94038962939749,125.81247666294848,147.81400715263462
46,46,hybrid,0,46.19247884221713,66.94458583744031,65.481704192722,90.07592791505968,101.79138772761982,98.59787860729489,138.58939344489988,137.8291765302745,139.709685237341,38.63464107513472,71.5996305627876,87.4350137379538
47,47,hybrid,0,135.93995055383914,138.87549402374748,135.5979691037149,138.30467894737382,138.83697106972812,138.46529396592456,137.46606125759558,139.83639096204087,141.2410381407411,113.65975008347483,143.33275634346865,143.18498321303778
48,48,hybrid,0,137.83088731896498,138.37772128072294,139.50789238012746,138.6293961119931,138.6293961119931,138.6293961119931,137.5873158710814,138.22734735191554,140.0784755288202,110.09220444425918,144.04169326779999,138.58542690023148
49,49,hybrid,0,121.40352065589474,119.13992381805717,115.40191798693671,137.40046925758986,130.72883185975564,129.89681498425,136.2955025467699,133.07939845038493,140.1806025628501,113.18008786119299,117.61214111751875,125.95843792236472
50,50,hybrid,0,115.4607836163191,116.83543838445863,110.5239467004721,134.51082535711242,133.2504543535821,129.43043883167377,135.89410672616697,144.78245622641532,138.64489562509124,99.26120950389733,122.9975665362636,117.61306850174425
51,51,hybrid,0,99.87655809599838,132.80389409372737,135.36097754996476,104.85366274776341,140.97932290180512,140.1430118417275,104.08642320486591,197.52543382370982,154.5732954869212,81.15759935012149,197.88531088509637,152.34927049893736
52,52,hybrid,0,79.1848683662379,68.55782014381697,115.12969612658841,96.07973710895911,88.950199693471,132.91479803417724,137.62616807986848,142.54283520682537,138.6717576998302,73.6028101279195,93.55113541661885,133.1008286736271
53,53,hybrid,0,121.99875487775003,131.6733072835999,106.7318975437994,135.48102059363129,140.67443657322767,127.4248461589679,137.16376991939484,140.30898312135008,147.39554285895963,116.58584822285789,139.16710694727448,128.39935447226313
54,54,hybrid,0,111.58532411162253,117.41220234522379,93.56891547829446,129.94394023893375,137.9323280599192,116.15191817820497,134.56062335868106,140.40624221252693,124.57528122781159,97.78949851360633,132.32933504717732,105.52461709379284
55,55,hybrid,0,117.44456208818086,110.49028880674699,123.75121022862062,136.25242314165027,133.29217873389283,136.686552576498,136.92443138269297,142.23589971444895,140.42271621750962,100.61695147677895,148.8464390214595,154.86724545506382
56,56,hybrid,0,97.6957224409269,111.07717842809288,100.81100239508224,123.40234264897,136.12353588809557,126.88768656725479,125.5569477386439,163.86095117015384,167.5071380369451,82.21492058750667,151.4297094332805,139.45464667900785
57,57,hybrid,0,126.46196675982537,136.4617850764863,139.03317637957895,138.6293961119931,138.6293961119931,138.6293961119931,138.0485380803607,139.09356453322812,138.41040857331035,122.3149895577652,136.22891797728496,153.2362872491136
58,58,hybrid,0,136.28480035135743,136.8234513447085,140.21402472370346,138.6293961119931,138.6293961119931,138.6293961119931,138.60939477846358,138.44936785553918,138.56938859163688,118.98099617065165,138.56613525418092,141.52453783454078
59,59,hybrid,0,122.97378112240861,128.7501109410842,140.73377737589072,136.62537405266897,134.06053705212798,139.58008170356564,135.68865005654678,138.07989438725807,144.45094040248424,108.75916265271972,136.43939325902744,156.43993284160024
60,60,hybrid,0,121.49095204243234,113.52363434671807,132.23187117040987,135.1812029904065,132.73577640172704,144.32847331298558,133.41822584411477,141.3777398482441,138.06127315222363,112.58484691924957,123.79149834852339,154.80242485896855
61,61,hybrid,0,96.25923974026803,100.97164125735844,95.12371076726606,125.71054791381043,136.75107369957692,121.47083464587331,127.49280286190442,150.8028198738897,176.42877371075028,87.66913764277714,114.16973819966185,105.62445691111736
62,62,hybrid,0,130.47082811285273,137.6069806681612,124.92173444938071,138.07724412309332,138.7060210368851,137.15596277012037,136.68019051933908,142.9718732962632,143.7430876613109,111.5489479911891,161.3115188392793,161.07563457920182
63,63,hybrid,0,135.6452906589288,136.11061567650955,141.3684178790537,138.6293961119931,138.6293961119931,138.6293961119931,138.52937343144842,139.68976737581016,139.6498392604744,110.15336425247244,144.10802627419025,141.01624073653178
64,64,hybrid,0,88.56939703989038,104.57194981137644,108.46957065397092,111.12334784045272,129.74485476684424,123.87869819680645,121.20535818731146,182.77701634958646,160.81922450646854,80.50953877460401,132.70704960182997,132.08368278447006
65,65,hybrid,0,65.91776554312295,119.80892099152304,110.2041268123603,76.36730678416255,138.48254148998925,130.88423459285866,103.7302492748806,190.47405052885296,227.24546332884938,47.666694322127555,132.7573968552922,145.81703077925545
66,66,hybrid,0,131.06187307390948,131.71329935958545,131.87319896596836,138.6293961119931,138.6293961119931,138.6293961119931,137.94845127153775,137.5880150449076,139.8759385935351,115.54988117266157,134.4515749274686,148.78514968249112
67,67,hybrid,0,127.73523129722453,133.5676213403205,118.55995851385563,138.6293961119931,138.6293961119931,138.6293961119931,138.289052568292,139.4508123200875,140.6528978503386,114.35681960541385,142.65744954695424,130.5443840464722
68,68,hybrid,0,134.12461273098938,139.92544038200543,140.75394166446966,137.55289141332142,137.51442371677018,138.80564645041687,136.84304139057886,144.29331415705153,137.88992244077372,117.18617636461363,148.43406271761216,137.60045278910087
69,69,hybrid,0,133.69387102337433,139.21525527375644,138.16930680909937,134.03936332410797,138.26083425400208,135.52972864481907,133.58138274181803,140.38682136803465,154.16594830460377,116.05946743884678,145.61650273738488,163.65972341808697
70,70,hybrid,0,128.76736986038787,138.2833402532608,138.8227491268643,138.6293961119931,138.6293961119931,138.6293961119931,138.12855942735808,138.73056129753957,139.53325149203795,119.78512165636717,141.50019447022248,143.62648538456637
71,71,hybrid,0,133.43315933668447,143.51918111659384,141.72277246361332,137.12723997385737,139.50471802513843,138.01203210522107,136.1150080722889,142.78661998149403,137.94577714786257,123.79225449218995,145.22794221878826,144.38623686229073
72,72,hybrid,0,133.4546605093502,125.75442398819425,132.82850459891324,138.6293961119931,138.6293961119931,138.6293961119931,137.88765674768916,136.15836498387722,139.13232932166426,105.8817724488957,141.70529508422226,146.43047518422233
73,73,hybrid,0,112.65138186473652,119.62958127976525,119.73801827552192,128.70316419444362,131.53361574132228,130.93759924429045,132.4349991455362,155.91517723576789,146.8113407068024,104.604727489981,156.51358926710788,151.48867235450277
74,74,hybrid,0,98.27824598838859,98.40338501695754,115.32634492007102,123.67855940202061,110.53628539958335,127.11961079951004,131.6194325886482,168.769833012658,153.5293450646369,86.99665634257971,113.90841616652222,142.468965096288
75,75,hybrid,0,108.900877045818,107.9097872483149,118.11154623426361,138.6293961119931,138.6293961119931,138.6293961119931,138.52937343144805,138.1687945237329,138.28920305349183,99.98236784146798,124.6788388780886,129.09858353064786
76,76,hybrid,0,82.10651806133055,124.44915893234241,106.48539627171542,87.70371701563272,133.28133174552886,117.68862480811254,105.38155228646994,192.71181370150683,139.5542429461762,66.94267905748852,161.08240008589033,137.97611731246297
77,77,hybrid,0,116.49935966455897,136.40680081084366,138.05260974678544,131.09119756557348,138.6723843920915,138.89590181169248,134.03934062591617,142.98590370549692,136.9744958391158,98.90352532146845,148.92822836692494,142.08755892753982
78,78,hybrid,0,100.05912138057059,100.69198410756934,103.19594804480451,123.09026804061435,120.84499288219043,136.19661193770833,137.4660612576035,139.96111994089114,141.1805849518476,87.85959030780168,113.87974900738672,130.64141951103463
79,79,hybrid,0,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,138.44928795623042,138.56941399300038,139.29038497235882,118.46928460949535,141.49013033720536,151.0935906432836
80,80,hybrid,0,136.69384554087344,138.31025028190788,139.0807586406165,138.6293961119931,138.6293961119931,138.6293961119931,138.2290325548459,137.7479801532374,138.62871665224884,118.80366308436483,140.25800945062946,142.2435627443847
81,81,hybrid,0,107.67997643303299,91.56894724330833,80.87974600317631,126.85536795776511,121.49161642822054,112.2402429997776,136.0173060309162,136.2991566225702,133.99774542415884,82.1776232972556,103.48776601324704,89.63432592974041
82,82,hybrid,0,103.99951125139975,104.48589225437689,91.55225409324838,138.6293961119931,138.6293961119931,138.6293961119931,137.82763673423813,140.80262366758353,139.19246714164035,91.69481741107542,124.55709603402029,104.30037074892323
83,83,hybrid,0,73.43075981942843,18.910214777116444,18.069308294876198,97.74993537494454,49.48191091329063,43.378573549521235,129.82423622763605,97.70401267240587,205.4479552389688,58.31792254328608,48.875164685271045,49.146675715281404
84,84,hybrid,0,113.6813246688055,114.5160537023215,102.32305514352579,128.56475843346465,128.73113515341657,121.85208969598798,132.9173891594785,147.9279927281513,137.42105057584016,99.27494919693207,144.23036495058813,123.35727687159127
85,85,hybrid,0,132.2937064544256,134.69305157793372,127.60042140180693,135.49612207251096,138.4064736638469,136.78086782214325,137.58731587108127,137.10754594939078,138.14917816137313,114.39272590945619,136.5014777446819,139.524223892026
86,86,hybrid,0,137.20518804240004,138.59962146127754,138.02867620025393,138.6293961119931,138.6293961119931,138.6293961119931,138.60939477844704,138.7694114857311,139.08940143084118,112.66176974736054,141.79931228810375,141.12137626494115
87,87,hybrid,0,11.278512468731416,63.950082986176355,102.94886284702667,17.43788601268729,141.61445990645024,166.08185130306305,15.40402476353645,384.9359545643397,454.2378879235056,3.890271161822893,410.53599554522424,493.6595450942161
88,88,hybrid,0,134.81052572995986,136.6287584881677,136.37182963508855,138.6293961119931,138.6293961119931,138.6293961119931,138.42928662262585,139.06973562634522,140.27142569479736,119.50993599103465,133.35097282845865,140.65324187627357
89,89,hybrid,0,42.17515254143301,45.95730150345875,47.85484957843,88.45225173754946,78.53866832667399,83.49546003235236,131.79109613661677,154.6763703865106,164.78847356419283,59.614926861014695,71.39492596959664,92.4971709553829
90,90,hybrid,0,89.81037504794698,100.15291520876639,86.40227174817099,113.47406198010566,126.95163870042393,103.7830357155354,129.9990758564268,144.60735712293481,138.89986666007178,81.02285126509734,114.79300862740396,120.61482501431873
91,91,hybrid,0,115.21058734842407,137.46050399508493,125.30475730500825,132.30896170208652,140.5051784975689,138.58814975948744,137.94845127159806,138.8699624404459,140.11362101574775,98.49479266104656,152.81349409141419,133.04493683325822
92,92,hybrid,0,68.46522291994741,101.52394902854819,82.75209363723131,90.24403426626981,124.88010085121445,110.92629148446453,117.52081997255446,160.83240956671995,120.80926352182871,61.256307229609625,118.62769838609832,102.09174652750109
93,93,hybrid,0,126.20443002669865,129.3722361264835,128.20342735528004,135.5188050057493,139.93681684979924,135.66025288486847,134.9993526816525,150.62111806023125,141.8167542958502,117.02565932863902,146.79725551402984,141.12496678899277
94,94,hybrid,0,115.66390966103604,104.50919416175878,114.46855269841147,126.78123493015698,117.11624766117184,118.28373432756271,138.5493747649947,140.87058700881136,136.5483318519407,99.65094449304225,129.00067655517273,137.47995835963718
95,95,hybrid,0,124.73246695277999,133.6670502301657,143.97544116548315,133.81217326727534,140.7307836151071,140.09272838454703,137.62616807986856,138.91540558624104,141.16839986319064,116.67948078978239,137.13513465798374,143.50902129687194
96,96,hybrid,0,110.46082992974232,132.73620780477376,112.51598765203917,115.20077900633123,137.7082571042839,116.88908000312382,113.53916617502844,178.97518635818034,116.72971475259989,94.38606764196275,189.90984899270006,119.06404031039659
97,97,hybrid,0,115.13839830215161,119.69368691327513,120.90038018868663,130.50228318471946,129.98693703807248,128.86944701985414,134.98698137442767,132.55413338484078,128.4675564716227,94.74650342341351,120.61366998469289,134.44161250199454
98,98,hybrid,0,110.97512744955363,100.77802844960618,119.75079086335057,126.85080817145582,117.0912888621384,128.9335106432706,125.55694773864269,138.6676385101074,128.94776860801602,92.01953163573361,127.8545478041879,133.71702482547875
99,99,hybrid,0,127.40817705522798,125.9123829205548,127.47931592903271,137.47821522664543,134.88549810704637,136.1072819118629,136.59584342337746,146.07610906872682,143.8487666799461,112.122788440987,146.48916411744037,148.85696419060957
100,100,habit,0,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,138.6293961119931,137.5873158710853,139.27414511324363,139.9168087284906,118.3485778629194,143.1801236953972,141.33265955833627
101,101,habit,0,138.34922727659674,138.5020747227336,138.49358507517704,138.6293961119931,138.6293961119931,138.6293961119931,137.88765674769073,137.9276611042538,139.615794627093,120.12782301042057,139.5111225642417,140.98938611926326
102,102,habit,0,75.68526460540711,118.36386099314738,217.55080114776308,66.39810888815613,91.51117388348496,99.14030516757957,95.76160514719265,252.77894409124386,188.9693134642567,53.11789068256171,102.9369534835339,125.18029950060384
103,103,habit,0,138.6293961119931,138.62522138949868,138.63040331664632,136.38998957649267,140.37865125686056,136.45875957521363,137.56614806641983,139.49393718611586,140.66650495023333,108.88772984201049,146.71443142018913,142.30661838479443
104,104,habit,0,98.55464760009554,155.36267151805788,131.0215970637989,78.55314647434375,70.9980774462177,66.02325129594516,131.4046744890453,158.49162570467917,134.610946025252,53.87027818677965,85.97334443173537,68.82100296608083
105,105,habit,0,134.06419744062805,138.62755866489147,138.64483272488184,134.24433922553175,140.08642828576734,130.89798783230776,137.32387674166847,140.87436359020387,133.5360897986015,108.44823741095055,143.87236132122854,137.80511532555107
106,106,habit,0,110.45651931993882,152.5954328085316,141.68680569936726,56.16536851211602,59.32869062191496,53.97321268037943,138.30905390183875,140.0728096129629,137.34700712684617,41.234693830238285,60.43119933345264,53.55880421140701
107,107,habit,0,137.7408437143692,138.6293961119931,138.6293961119931,116.61372255678134,120.12765285874453,121.12629552276132,135.86914453102636,140.37597700176175,142.35926850287998,95.35859062631697,126.79951178697786,125.54095564788454
108,108,habit,0,129.0049145737146,129.41216034232343,127.50081298863364,109.72909731258792,99.69038301425057,123.39799048353886,124.03995564821523,188.43694820618902,125.37344452692344,87.96834779432776,117.81472352952237,143.15905305849856
109,109,habit,0,137.08707652897309,138.7094748956165,138.5437430632803,138.3470683079023,138.2622817194009,138.93963869942237,137.40682139660606,142.6275102862674,138.36954852109432,123.64469476852584,143.3032815250363,145.4094616475508
110,110,habit,0,108.9871212115964,122.79542001747637,147.96544646948965,81.33362495117738,65.78412691037036,95.16267015517505,114.55935847474615,93.73095233788503,179.65776196382947,55.13555908733099,66.88128749906835,118.3281016373226
111,111,habit,0,137.52696219768367,137.574837779088,138.83649537102997,137.05945605446226,140.412856297328,139.03072461083605,137.82763673423761,139.8399791558415,136.94514855804698,120.79181212480184,147.02666006051953,144.53789509549173
112,112,habit,0,132.2252422046575,140.85649262292264,125.76357659916866,96.70250805361836,103.81266450855873,96.11925558390948,132.64294618030158,146.47878032348157,165.3500932984433,86.92097483746329,112.48972205873149,110.05570953328882
113,113,habit,0,95.48481843174756,187.10077236985234,130.89627310572473,31.000284828037373,34.31186681013784,27.68870284596648,122.17282041098493,166.23216133041626,162.8429812597039,19.56715095782705,37.04032614763049,36.537065988544114
114,114,habit,0,122.8745902872008,133.40622641401802,142.75265660067453,98.81083848046471,114.07789395081042,117.2892696283888,132.4304785769632,144.59048996899736,141.67876867514565,84.20735608539255,119.44421642552922,127.1169770823548
115,115,habit,0,135.38906978479315,137.31355476673684,144.41447548734862,134.37537782200246,132.70319519854434,133.12124085442625,136.53582340997457,140.82510029957416,143.4286497614404,113.91656474307663,129.6316196360718,152.02291471522523
116,116,habit,0,71.61115176187637,70.78085909181436,187.1367263332706,44.4772839728616,36.410589824540395,41.34840343984465,84.54177756122947,363.81063175553936,51.584595592739845,30.48910076458301,83.49098123147667,42.03169897878187
